"PLAYER_NAME","W_PCT"
"JaVale McGee",0.805
"Pau Gasol",0.734
"David Lee",0.734
"Dewayne Dedmon",0.724
"Clint Capela",0.677
"Al Horford",0.676
"Rudy Gobert",0.63
"DeAndre Jordan",0.63
"Jonas Valanciunas",0.625
"Marreese Speights",0.622
"Enes Kanter",0.597
"Marc Gasol",0.541
"Cheick Diallo",0.529
"Jusuf Nurkic",0.523
"Greg Monroe",0.519
"Nikola Jokic",0.507
"Hassan Whiteside",0.506
"Dwight Howard",0.5
"Edy Tavares",0.5
"Al Jefferson",0.5
"Boban Marjanovic",0.457
"Andre Drummond",0.444
"Joel Embiid",0.419
"DeMarcus Cousins",0.417
"Karl-Anthony Towns",0.378
"Willy Hernangomez",0.375
"Nikola Vucevic",0.36
"Tyson Chandler",0.319
"Richaun Holmes",0.281
"Brook Lopez",0.267
"Alan Williams",0.234
