"PLAYER_NAME","W_PCT"
"Chris Paul",0.705
"George Hill",0.673
"Isaiah Thomas",0.671
"Kyrie Irving",0.653
"John Wall",0.615
"Kyle Lowry",0.6
"Paul Millsap",0.58
"Russell Westbrook",0.568
"Goran Dragic",0.548
"Dennis Schroder",0.532
"Mike Conley",0.507
"Damian Lillard",0.507
"Kenneth Faried",0.475
"Nerlens Noel",0.471
"Beno Udrih",0.462
"Kemba Walker",0.456
"Dirk Nowitzki",0.426
"Ricky Rubio",0.373
"Jeremy Lin",0.361
"Elfrid Payton",0.354
"Eric Bledsoe",0.333
"J.J. Barea",0.314
"Trevor Booker",0.254
"Demetrius Jackson",0.2
