"PLAYER_NAME","W_PCT"
"David West",0.824
"Kevin Durant",0.823
"Stephen Curry",0.823
"Draymond Green",0.816
"Kawhi Leonard",0.73
"LaMarcus Aldridge",0.722
"LeBron James",0.689
"Joel Bolomboy",0.667
"Kevin Love",0.667
"Blake Griffin",0.656
"Gordon Hayward",0.63
"Bradley Beal",0.623
"Brandon Bass",0.558
"Jimmy Butler",0.526
"James Johnson",0.526
"Giannis Antetokounmpo",0.525
"Zach Randolph",0.521
"Paul George",0.52
"Nick Collison",0.5
"Brandan Wright",0.5
"Danilo Gallinari",0.492
"Nicolas Batum",0.455
"Tobias Harris",0.451
"Jabari Parker",0.431
"Tyreke Evans",0.425
"Anthony Davis",0.413
"Michael Beasley",0.411
"Harrison Barnes",0.405
"Carmelo Anthony",0.392
"Kyle O'Quinn",0.367
"Julius Randle",0.324
"Thomas Robinson",0.313
"Shawn Long",0.278
"Josh Huestis",0
"Jarnell Stokes",0
