"PLAYER_NAME","W_PCT"
"Chris Paul",0.705
"George Hill",0.673
"Isaiah Thomas",0.671
"James Harden",0.667
"Kyrie Irving",0.653
"DeMar DeRozan",0.635
"John Wall",0.615
"Kyle Lowry",0.6
"Paul Millsap",0.58
"Russell Westbrook",0.568
"Goran Dragic",0.548
"Archie Goodwin",0.533
"Dennis Schroder",0.532
"Jeff Teague",0.512
"Mike Conley",0.507
"Damian Lillard",0.507
"CJ McCollum",0.5
"Dwyane Wade",0.483
"Jrue Holiday",0.478
"Kenneth Faried",0.475
"Nerlens Noel",0.471
"Beno Udrih",0.462
"Kemba Walker",0.456
"Jeremy Lamb",0.435
"Dirk Nowitzki",0.426
"Lou Williams",0.42
"Ricky Rubio",0.373
"Rudy Gay",0.367
"Jeremy Lin",0.361
"Elfrid Payton",0.354
"Eric Bledsoe",0.333
"J.J. Barea",0.314
"Trevor Booker",0.254
"Demetrius Jackson",0.2
